Date,Close,Open,High,Low,Vol.,Change %
2006-03-16,8261.9,8236.7,8281.2,8236.7,,0.31%
2006-03-17,8271.6,8262.1,8282.3,8257.6,,0.12%
2006-03-20,8255.6,8271.6,8290.2,8251.0,,-0.19%
2006-03-21,8199.8,8255.6,8273.5,8194.9,,-0.68%
2006-03-22,8255.9,8199.8,8259.9,8198.7,,0.68%
2006-03-23,8227.0,8255.8,8255.8,8204.4,,-0.35%
2006-03-24,8252.4,8227.0,8265.7,8217.0,,0.31%
2006-03-27,8232.0,8252.4,8252.4,8216.8,,-0.25%
2006-03-28,8175.7,8232.0,8250.4,8169.3,,-0.68%
2006-03-29,8249.4,8175.7,8258.1,8175.7,,0.90%
2006-03-30,8271.8,8249.4,8322.0,8246.9,,0.27%
2006-03-31,8233.2,8271.9,8271.9,8223.2,,-0.47%
2006-04-03,8269.6,8233.2,8326.4,8233.2,,0.44%
2006-04-04,8324.8,8269.6,8330.3,8265.0,,0.67%
2006-04-05,8369.2,8324.8,8374.0,8324.7,,0.53%
2006-04-07,8270.6,8359.7,8380.2,8265.0,,-1.07%
2006-04-10,8283.1,8270.7,8307.8,8268.0,,0.15%
2006-04-12,8220.5,8214.5,8233.5,8207.1,,0.07%
2006-04-13,8228.0,8220.6,8234.0,8183.4,,0.09%
2006-04-17,8242.1,8227.9,8269.4,8223.4,,0.17%
2006-04-18,8389.4,8242.1,8392.9,8242.1,,1.79%
2006-04-19,8431.2,8389.4,8431.2,8371.4,,0.50%
2006-04-20,8422.1,8431.2,8458.8,8390.6,,-0.11%
2006-04-21,8461.1,8422.2,8478.5,8422.2,,0.46%
2006-04-24,8440.6,8461.1,8461.1,8414.5,,-0.24%
2006-04-25,8405.9,8440.6,8463.0,8391.0,,-0.41%
2006-04-26,8429.9,8405.9,8464.3,8405.9,,0.29%
2006-04-27,8440.5,8429.7,8470.0,8358.4,,0.13%
2006-04-28,8471.4,8440.5,8491.9,8438.0,,0.37%
2006-05-02,8541.8,8461.9,8541.8,8461.9,,0.95%
2006-05-03,8497.2,8541.8,8541.8,8471.3,,-0.52%
2006-05-04,8531.6,8497.4,8538.2,8497.4,,0.40%
2006-05-05,8632.9,8531.6,8634.9,8531.6,,1.19%
2006-05-08,8623.2,8632.9,8634.4,8606.3,,-0.11%
2006-05-09,8647.0,8623.2,8651.7,8619.4,,0.28%
2006-05-10,8631.6,8647.0,8647.0,8598.0,,-0.18%
2006-05-11,8526.7,8631.4,8633.7,8520.6,,-1.22%
2006-05-12,8411.3,8526.8,8526.8,8408.5,,-1.35%
