Date,BAJFINANCE.NS,HDFCBANK.NS,INFY.NS,ITC.NS,RELIANCE.NS,TCS.NS,WIPRO.NS
2023-01-02,6493.421875,1588.541748046875,1447.292724609375,310.4676208496094,1176.415771484375,3063.029541015625,191.34100341796875
2023-01-03,6545.4384765625,1598.9290771484375,1445.915771484375,308.8352966308594,1167.806884765625,3109.894287109375,193.28823852539062
2023-01-04,6510.51318359375,1570.3516845703125,1419.5625,305.0109558105469,1150.223876953125,3112.992919921875,189.71018981933594
2023-01-05,6043.89794921875,1560.2567138671875,1400.94873046875,311.0272521972656,1148.168701171875,3109.65869140625,188.34710693359375
2023-01-06,5925.349609375,1555.0875244140625,1375.5927734375,312.5196533203125,1158.6043701171875,3016.165283203125,185.9617462158203
2023-01-09,5938.18017578125,1558.1109619140625,1409.7332763671875,315.3179016113281,1185.960693359375,3117.97021484375,190.73248291015625
2023-01-10,5849.80126953125,1529.6309814453125,1395.773193359375,310.9805908203125,1168.4234619140625,3086.461669921875,191.34100341796875
2023-01-11,5841.47900390625,1551.6737060546875,1397.1976318359375,309.4881896972656,1153.69482421875,3126.188720703125,191.73045349121094
2023-01-12,5844.1044921875,1559.9642333984375,1406.0771484375,307.6693115234375,1128.78173828125,3131.494384765625,192.046875
2023-01-13,5922.7734375,1561.1834716796875,1427.9669189453125,306.6432800292969,1126.9549560546875,3169.248779296875,191.75479125976562
2023-01-16,5955.56884765625,1546.2119140625,1448.7171630859375,307.9957580566406,1116.2225341796875,3194.640869140625,194.0428009033203
2023-01-17,5929.85791015625,1569.22998046875,1462.0125732421875,309.9079284667969,1132.0699462890625,3237.13623046875,192.9474639892578
2023-01-18,5943.431640625,1596.9298095703125,1467.6156005859375,312.14654541015625,1130.197509765625,3248.2509765625,196.28211975097656
2023-01-19,5957.10498046875,1603.56201171875,1461.442626953125,309.8146667480469,1128.9873046875,3232.05810546875,196.37948608398438
2023-01-20,5806.45458984375,1619.9964599609375,1448.7646484375,312.09991455078125,1115.560302734375,3222.476318359375,196.25778198242188
2023-01-23,5809.0302734375,1631.8470458984375,1470.084716796875,315.0380859375,1109.919921875,3272.10986328125,198.1320037841797
2023-01-24,5801.1533203125,1653.6947021484375,1473.788330078125,316.1573791503906,1103.366455078125,3292.615478515625,198.9147491455078
2023-01-25,5742.5478515625,1607.9998779296875,1465.3363037109375,316.437255859375,1088.112548828125,3286.3388671875,196.4442138671875
2023-01-27,5707.671875,1575.9599609375,1442.686767578125,322.73333740234375,1067.4697265625,3268.421630859375,194.73194885253906
2023-01-30,5966.3681640625,1574.3505859375,1461.34765625,321.614013671875,1077.6998291015625,3290.075927734375,196.7866668701172
2023-01-31,5832.21484375,1563.963134765625,1456.552001953125,328.65631103515625,1075.0052490234375,3218.26025390625,195.1233367919922
2023-02-01,5763.65234375,1587.420166015625,1473.0286865234375,337.0977478027344,1068.63427734375,3265.834228515625,196.86004638671875
2023-02-02,5665.0185546875,1563.8167724609375,1504.0352783203125,353.14117431640625,1062.7200927734375,3315.707763671875,200.30902099609375
2023-02-03,5958.8876953125,1617.899658203125,1518.8974609375,355.0532531738281,1063.65625,3336.691650390625,199.5507354736328
2023-02-06,6048.01025390625,1611.0234375,1490.8349609375,357.618408203125,1055.6409912109375,3315.2763671875,197.96078491210938
2023-02-07,6103.84130859375,1613.4129638671875,1483.7598876953125,348.15087890625,1053.1064453125,3327.349609375,195.9305419921875
2023-02-08,6293.18212890625,1613.218017578125,1510.4454345703125,350.2962341308594,1074.1375732421875,3372.91162109375,198.98812866210938
2023-02-09,6395.5810546875,1609.85302734375,1535.6116943359375,349.0836486816406,1076.0098876953125,3392.79345703125,199.74639892578125
2023-02-10,6376.26025390625,1616.2415771484375,1527.587158203125,346.378662109375,1067.1500244140625,3389.631591796875,198.5233612060547
2023-02-13,6287.0888671875,1617.460693359375,1488.5556640625,349.0370178222656,1061.075927734375,3336.787353515625,195.97946166992188
2023-02-14,6399.2470703125,1632.43212890625,1513.0570068359375,360.46331787109375,1086.080322265625,3353.747802734375,198.18092346191406
