Date,Close,Open,High,Low
02/24/2025,19859.20,19881.53,19958.75,19796.34
02/21/2025,19881.53,20149.85,20149.85,19847.62
02/20/2025,20149.85,20228.20,20228.20,20044.45
02/19/2025,20228.20,20240.39,20240.39,20144.28
02/18/2025,20240.39,20130.49,20240.59,20130.49
02/14/2025,20130.49,20181.29,20239.27,20120.80
02/13/2025,20181.29,20062.31,20190.87,20034.32
02/12/2025,20062.31,20168.21,20168.21,19955.46
02/11/2025,20168.21,20117.88,20180.56,20049.38
02/10/2025,20117.88,20039.48,20143.46,20039.48
02/07/2025,20039.48,20157.58,20230.83,20034.62
02/06/2025,20157.58,20128.89,20211.00,20056.98
02/05/2025,20128.89,19964.61,20130.17,19964.61
02/04/2025,19964.61,19870.33,19990.67,19870.33
02/03/2025,19870.33,19998.82,19998.82,19639.32
01/31/2025,19998.82,20166.22,20212.19,19984.11
01/30/2025,20166.22,19927.47,20218.73,19927.47
01/29/2025,19927.47,19970.63,20057.66,19881.72
01/28/2025,19970.63,19980.00,20009.48,19903.22
01/27/2025,19980.00,19997.47,19997.47,19839.44
01/24/2025,19997.47,19978.78,20047.14,19966.44
01/23/2025,19978.78,19827.62,19978.78,19827.62
01/22/2025,19827.62,19893.59,19927.77,19821.97
01/21/2025,19893.59,19607.37,19897.26,19607.37
01/17/2025,19607.37,19548.63,19673.71,19548.63
01/16/2025,19548.63,19422.71,19570.63,19408.48
01/15/2025,19422.71,19176.65,19461.63,19176.65
01/14/2025,19176.65,19047.33,19187.05,19026.41
01/13/2025,19047.33,18963.01,19050.29,18857.22
01/10/2025,18963.01,19240.74,19240.74,18941.51
01/08/2025,19240.74,19213.88,19245.12,19080.19
01/07/2025,19213.88,19261.42,19383.49,19157.17
01/06/2025,19261.42,19254.29,19426.84,19236.48
01/03/2025,19254.29,19095.42,19276.70,19095.42
01/02/2025,19095.42,19097.10,19254.72,19014.41
12/31/2024,19097.10,19077.93,19175.46,19036.24
12/30/2024,19077.93,19238.48,19238.48,18953.55
12/27/2024,19238.48,19364.50,19365.62,19156.28
12/26/2024,19364.50,19341.48,19387.38,19282.11
12/24/2024,19341.48,19207.11,19341.83,19189.24
12/23/2024,19207.11,19119.44,19221.98,19009.57
12/20/2024,19119.44,18958.21,19246.41,18860.61
12/19/2024,18958.21,18986.96,19191.93,18956.00
12/18/2024,18986.96,19517.61,19563.27,18983.13
12/17/2024,19517.61,19627.68,19627.68,19484.49
